Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Master,3-5 years,"AI, Cybersecurity, Web Development","Java, SQL, ML","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Cybersecurity, AI, Java, ML, SQL, Web Development","Java, ML, SQL"
Bachelor,1-3 years,AI,"Python, AWS, Java, ML, Docker","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Python, AWS, AI, Docker, Java, ML","AWS, Docker, Java, ML"
Bachelor,1-3 years,"Cybersecurity, AI","SQL, React, ML",AWS Certified,IT,AI Engineer,AWS Training,"Cybersecurity, AI, ML, SQL, React","ML, SQL, React"
Bachelor,1-3 years,"AI, Web Development","Docker, React, AWS, SQL, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"AWS, React, AI, Docker, ML, SQL, Web Development","AWS, React, Docker, ML, SQL"
Master,3-5 years,Data Science,"Docker, ML, SQL",AWS Certified,IT,Data Scientist,AWS Training,"SQL, Data Science, Docker, ML","SQL, Docker, ML"
Master,5+ years,"Data Science, AI, Machine Learning","ML, React, Python, Docker, Java",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Data Science, AI, Docker, ML, Java, React","Docker, ML, Java, React"
Bachelor,0-1 years,"Machine Learning, AI, Cloud Computing","AWS, SQL, Docker, Java","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, AWS, AI, Docker, Java, SQL, Cloud Computing","AWS, Docker, Java, SQL"
Master,5+ years,"Web Development, AI","Docker, ML, Python",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Python, AI, Docker, ML, Web Development","Docker, ML"
Master,5+ years,Data Science,"React, AWS, Docker",Google Data Engineer,IT,Data Scientist,Google Cloud Certification,"Data Science, Docker, React, AWS","Docker, React, AWS"
PhD,0-1 years,Machine Learning,"Java, ML, SQL, AWS","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, AWS, Java, ML, SQL","AWS, Java, ML, SQL"
Master,5+ years,"Data Science, Machine Learning","React, Python, Java, ML, AWS",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Data Science, AWS, Java, ML, React","AWS, Java, ML, React"
PhD,3-5 years,"Cloud Computing, Web Development","React, Java, AWS, ML, Docker",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"AWS, React, Docker, Java, ML, Web Development, Cloud Computing","AWS, React, Docker, Java, ML"
Bachelor,3-5 years,"Web Development, Machine Learning, Cloud Computing","SQL, ML, Java, React","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, React, ML, Java, SQL, Web Development, Cloud Computing","React, ML, Java, SQL"
Master,3-5 years,"Cybersecurity, Data Science, AI","Docker, ML, React, SQL",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Data Science, Cybersecurity, AI, Docker, ML, SQL, React","Docker, ML, SQL, React"
Bachelor,3-5 years,AI,"Java, ML, SQL, Docker",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"AI, Docker, Java, ML, SQL","Docker, Java, ML, SQL"
Bachelor,1-3 years,"Web Development, Cloud Computing","SQL, Docker, ML, Java",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"Docker, ML, Java, SQL, Web Development, Cloud Computing","Docker, ML, Java, SQL"
Bachelor,3-5 years,"Cybersecurity, Cloud Computing","Docker, Java, AWS, SQL","AWS Certified, Azure Fundamentals",IT,Cloud Engineer,"AWS Training, Azure Fundamentals","AWS, Cybersecurity, Docker, Java, SQL, Cloud Computing","AWS, Docker, Java, SQL"
Master,3-5 years,"Machine Learning, Cloud Computing","Docker, Java, Python","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, Docker, Java, Cloud Computing","Docker, Java"
Bachelor,3-5 years,"Data Science, Cloud Computing","React, ML, Java, SQL",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"Data Science, Java, ML, SQL, React, Cloud Computing","Java, ML, SQL, React"
PhD,5+ years,Web Development,"ML, Java, React, SQL, Docker","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","React, Docker, Java, ML, SQL, Web Development","React, Docker, Java, ML, SQL"
Master,3-5 years,"Data Science, Cybersecurity","AWS, Docker, ML, SQL","AWS Certified, Azure Fundamentals",IT,Data Scientist,"AWS Training, Azure Fundamentals","Data Science, AWS, Cybersecurity, Docker, ML, SQL","AWS, Docker, ML, SQL"
PhD,3-5 years,"Web Development, Data Science","Java, Docker, Python, SQL, AWS","AWS Certified, Azure Fundamentals",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Data Science, AWS, Docker, Java, SQL, Web Development","AWS, Docker, Java, SQL"
Master,0-1 years,Data Science,"ML, Python, Java, AWS, SQL","Azure Fundamentals, AWS Certified",IT,Data Scientist,"AWS Training, Azure Fundamentals","Python, Data Science, AWS, Java, ML, SQL","AWS, Java, ML, SQL"
Bachelor,3-5 years,"Machine Learning, AI","ML, SQL, Python, Java","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, AI, ML, Java, SQL","ML, Java, SQL"
Bachelor,1-3 years,Cloud Computing,"SQL, AWS, Java, ML","Azure Fundamentals, Google Data Engineer",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","AWS, Java, ML, SQL, Cloud Computing","AWS, Java, ML, SQL"
Master,0-1 years,"Cybersecurity, Web Development","Docker, Java, SQL, AWS",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"Cybersecurity, AWS, Docker, Java, SQL, Web Development","AWS, Docker, Java, SQL"
PhD,3-5 years,Web Development,"Docker, AWS, Python, ML","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, AWS, Docker, ML, Web Development","AWS, Docker, ML"
Master,1-3 years,Cybersecurity,"SQL, Docker, Java, Python","Google Data Engineer, Azure Fundamentals",IT,Software Engineer,"Azure Fundamentals, Google Cloud Certification","Python, Cybersecurity, Docker, Java, SQL","Docker, Java, SQL"
Master,5+ years,"Machine Learning, Data Science, Cybersecurity","Python, Docker, Java, React, SQL",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Data Science, Cybersecurity, Docker, Java, SQL, React","Docker, Java, SQL, React"
Master,5+ years,Cloud Computing,"React, Docker, Java, AWS","Google Data Engineer, Azure Fundamentals",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","AWS, Docker, Java, React, Cloud Computing","AWS, Docker, Java, React"
Master,3-5 years,"AI, Cloud Computing","Java, Docker, React, SQL, Python",AWS Certified,IT,AI Engineer,AWS Training,"Python, AI, Docker, Java, SQL, React, Cloud Computing","Docker, Java, SQL, React"
PhD,1-3 years,Cybersecurity,"Docker, Python, Java, React, ML","AWS Certified, Google Data Engineer",IT,Software Engineer,"AWS Training, Google Cloud Certification","Python, Cybersecurity, Docker, Java, ML, React","Docker, Java, ML, React"
PhD,0-1 years,"Cybersecurity, Machine Learning, Web Development","Python, React, AWS, Java, SQL",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, Python, Cybersecurity, AWS, React, Java, SQL, Web Development","AWS, React, Java, SQL"
PhD,5+ years,AI,"React, Java, SQL","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AI, SQL, React, Java","SQL, React, Java"
Master,5+ years,"AI, Web Development, Cloud Computing","ML, AWS, Python, React, Java","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, React, AI, ML, Java, Web Development, Cloud Computing","AWS, React, ML, Java"
Bachelor,3-5 years,Cloud Computing,"SQL, AWS, React, Docker, Python",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"Python, AWS, Docker, SQL, React, Cloud Computing","AWS, Docker, SQL, React"
Bachelor,1-3 years,"Cloud Computing, Machine Learning, AI","Python, SQL, Docker, React, Java",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, Python, AI, Docker, Java, SQL, React, Cloud Computing","Docker, Java, SQL, React"
PhD,0-1 years,"Data Science, Cybersecurity, Cloud Computing","Java, ML, Docker","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Data Science, Cybersecurity, Docker, Java, ML, Cloud Computing","Docker, Java, ML"
Bachelor,5+ years,"Data Science, Web Development","React, Python, SQL, Java, ML",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"Python, Data Science, React, Java, ML, SQL, Web Development","React, Java, ML, SQL"
Master,5+ years,"Machine Learning, Web Development, Data Science","AWS, Docker, Java, React, Python","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, Python, Data Science, AWS, React, Docker, Java, Web Development","AWS, React, Docker, Java"
Master,0-1 years,"Cloud Computing, Data Science, Machine Learning","AWS, Java, SQL, Python, Docker","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, Data Science, AWS, Docker, Java, SQL, Cloud Computing","AWS, Docker, Java, SQL"
Bachelor,5+ years,Cloud Computing,"ML, Python, SQL",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"SQL, Python, ML, Cloud Computing","SQL, ML"
Master,0-1 years,Cybersecurity,"Docker, ML, SQL, Java","AWS Certified, Google Data Engineer",IT,Software Engineer,"AWS Training, Google Cloud Certification","Cybersecurity, Docker, Java, ML, SQL","Docker, Java, ML, SQL"
PhD,3-5 years,"Cybersecurity, Web Development","SQL, ML, Java, Python, React",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"Python, Cybersecurity, React, Java, ML, SQL, Web Development","React, Java, ML, SQL"
Bachelor,0-1 years,Data Science,"AWS, Python, Java, ML, React","Azure Fundamentals, Google Data Engineer",IT,Data Scientist,"Azure Fundamentals, Google Cloud Certification","Python, Data Science, AWS, Java, ML, React","AWS, Java, ML, React"
Master,3-5 years,"Machine Learning, Cybersecurity","SQL, Python, Java, Docker",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Cybersecurity, Docker, Java, SQL","Docker, Java, SQL"
PhD,5+ years,Machine Learning,"React, ML, Docker, AWS","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, AWS, Docker, ML, React","AWS, Docker, ML, React"
Master,0-1 years,"Cybersecurity, AI, Web Development","Java, Docker, React, ML","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Cybersecurity, React, AI, Docker, Java, ML, Web Development","React, Docker, Java, ML"
PhD,3-5 years,"Web Development, Cloud Computing, Cybersecurity","Python, Java, Docker, SQL","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Cybersecurity, Docker, Java, SQL, Web Development, Cloud Computing","Docker, Java, SQL"
Master,0-1 years,Web Development,"ML, SQL, Docker","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","SQL, Docker, Web Development, ML","SQL, Docker, ML"
Bachelor,3-5 years,Data Science,"ML, SQL, Java, Docker, AWS",AWS Certified,IT,Data Scientist,AWS Training,"Data Science, AWS, Docker, Java, ML, SQL","AWS, Docker, Java, ML, SQL"
Master,5+ years,Cloud Computing,"Python, Docker, AWS","AWS Certified, Azure Fundamentals",IT,Cloud Engineer,"AWS Training, Azure Fundamentals","AWS, Python, Docker, Cloud Computing","AWS, Docker"
Bachelor,1-3 years,Cybersecurity,"Docker, SQL, Python",AWS Certified,IT,Software Engineer,AWS Training,"SQL, Docker, Cybersecurity, Python","SQL, Docker"
Bachelor,5+ years,"AI, Data Science, Cloud Computing","SQL, Java, Python","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, Data Science, AI, Java, SQL, Cloud Computing","Java, SQL"
Master,5+ years,Web Development,"ML, Docker, Python","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Docker, Web Development, ML, Python","Docker, ML"
Bachelor,1-3 years,Cybersecurity,"Python, AWS, Java","Azure Fundamentals, AWS Certified",IT,Software Engineer,"AWS Training, Azure Fundamentals","AWS, Python, Java, Cybersecurity","AWS, Java"
Bachelor,5+ years,Cloud Computing,"Java, Docker, SQL, AWS","AWS Certified, Azure Fundamentals",IT,Cloud Engineer,"AWS Training, Azure Fundamentals","AWS, Docker, Java, SQL, Cloud Computing","AWS, Docker, Java, SQL"
PhD,1-3 years,Machine Learning,"AWS, Docker, Java, SQL, ML",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, AWS, Docker, Java, ML, SQL","AWS, Docker, Java, ML, SQL"
Master,3-5 years,"Cloud Computing, Machine Learning, AI","Java, AWS, React, Python, SQL",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, AWS, AI, Java, SQL, React, Cloud Computing","AWS, Java, SQL, React"
PhD,5+ years,Cloud Computing,"Java, React, AWS, SQL","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","AWS, Java, SQL, React, Cloud Computing","AWS, Java, SQL, React"
Master,3-5 years,Cybersecurity,"React, SQL, Python, ML, Docker","Azure Fundamentals, AWS Certified",IT,Software Engineer,"AWS Training, Azure Fundamentals","Python, Cybersecurity, Docker, ML, SQL, React","Docker, ML, SQL, React"
Bachelor,0-1 years,"AI, Web Development","AWS, SQL, Python","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, AI, SQL, Web Development","AWS, SQL"
Bachelor,0-1 years,"Data Science, Cloud Computing","Python, AWS, Java, Docker, React",Azure Fundamentals,IT,Cloud Engineer,Azure Fundamentals,"Python, Data Science, AWS, Docker, Java, React, Cloud Computing","AWS, Docker, Java, React"
PhD,5+ years,"Web Development, Cloud Computing","Python, React, Docker","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","Python, React, Docker, Web Development, Cloud Computing","React, Docker"
PhD,3-5 years,Cybersecurity,"SQL, Python, React",Google Data Engineer,IT,Software Engineer,Google Cloud Certification,"SQL, Python, React, Cybersecurity","SQL, React"
PhD,5+ years,Machine Learning,"Python, Docker, ML",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Docker, ML","Docker, ML"
Bachelor,5+ years,Cloud Computing,"React, Docker, Python, Java","Google Data Engineer, Azure Fundamentals",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","Python, Docker, Java, React, Cloud Computing","Docker, Java, React"
Master,3-5 years,Machine Learning,"Docker, Java, SQL, ML",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Docker, Java, ML, SQL","Docker, Java, ML, SQL"
PhD,0-1 years,"Data Science, Cloud Computing","SQL, ML, AWS",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"Data Science, AWS, ML, SQL, Cloud Computing","AWS, ML, SQL"
Bachelor,5+ years,"Cloud Computing, Machine Learning, Web Development","Docker, SQL, Python","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, Docker, SQL, Web Development, Cloud Computing","Docker, SQL"
Master,0-1 years,"Cybersecurity, Cloud Computing","React, Docker, SQL","Google Data Engineer, Azure Fundamentals",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","Cybersecurity, Docker, SQL, React, Cloud Computing","Docker, SQL, React"
Bachelor,5+ years,Cloud Computing,"SQL, AWS, Java, Docker, Python","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, AWS, Docker, Java, SQL, Cloud Computing","AWS, Docker, Java, SQL"
PhD,3-5 years,Cybersecurity,"Docker, React, ML",Azure Fundamentals,IT,Software Engineer,Azure Fundamentals,"Docker, React, Cybersecurity, ML","Docker, React, ML"
PhD,0-1 years,"AI, Machine Learning","Java, AWS, Python, SQL","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, AWS, AI, Java, SQL","AWS, Java, SQL"
PhD,3-5 years,Cloud Computing,"Docker, AWS, ML, React","Google Data Engineer, Azure Fundamentals",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","AWS, Docker, ML, React, Cloud Computing","AWS, Docker, ML, React"
Master,0-1 years,"AI, Data Science","React, ML, SQL",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Data Science, AI, ML, SQL, React","ML, SQL, React"
Bachelor,0-1 years,"Cloud Computing, AI, Web Development","Python, Docker, Java","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AI, Docker, Java, Web Development, Cloud Computing","Docker, Java"
PhD,5+ years,Web Development,"AWS, React, ML, Python","Azure Fundamentals, Google Data Engineer",IT,Web Developer,"Azure Fundamentals, Google Cloud Certification","Python, AWS, React, ML, Web Development","AWS, React, ML"
Bachelor,5+ years,"AI, Web Development","Java, ML, Python, Docker","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Python, AI, Docker, Java, ML, Web Development","Docker, Java, ML"
PhD,0-1 years,AI,"Python, AWS, Docker, Java, SQL","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Python, AWS, AI, Docker, Java, SQL","AWS, Docker, Java, SQL"
Bachelor,3-5 years,"Machine Learning, Data Science, AI","AWS, Java, React","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Data Science, AWS, AI, Java, React","AWS, Java, React"
Bachelor,0-1 years,Cybersecurity,"SQL, Java, React","AWS Certified, Azure Fundamentals",IT,Software Engineer,"AWS Training, Azure Fundamentals","SQL, Java, React, Cybersecurity","SQL, Java, React"
Master,3-5 years,AI,"ML, SQL, AWS, React","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","AWS, AI, ML, SQL, React","AWS, ML, SQL, React"
Bachelor,3-5 years,"Data Science, AI","React, Python, AWS, ML","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Python, Data Science, AWS, AI, ML, React","AWS, ML, React"
Master,3-5 years,Machine Learning,"ML, Python, Java, AWS, React","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, AWS, Java, ML, React","AWS, Java, ML, React"
Master,1-3 years,"Cloud Computing, Web Development","SQL, Docker, Python, ML","Azure Fundamentals, Google Data Engineer",IT,Web Developer,"Azure Fundamentals, Google Cloud Certification","Python, Docker, ML, SQL, Web Development, Cloud Computing","Docker, ML, SQL"
Master,1-3 years,"AI, Cybersecurity","ML, Docker, SQL","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Cybersecurity, AI, Docker, ML, SQL","Docker, ML, SQL"
Bachelor,1-3 years,Data Science,"SQL, ML, React, AWS, Docker","AWS Certified, Azure Fundamentals",IT,Data Scientist,"AWS Training, Azure Fundamentals","Data Science, AWS, Docker, ML, SQL, React","AWS, Docker, ML, SQL, React"
Bachelor,0-1 years,"Web Development, Cybersecurity, AI","Docker, ML, React, AWS","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Cybersecurity, AWS, React, AI, Docker, ML, Web Development","AWS, React, Docker, ML"
Bachelor,3-5 years,"Data Science, Web Development, Machine Learning","SQL, Java, ML, Docker, AWS","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Data Science, AWS, Docker, Java, ML, SQL, Web Development","AWS, Docker, Java, ML, SQL"
Bachelor,3-5 years,"Cybersecurity, Data Science","Python, SQL, Docker, AWS","AWS Certified, Azure Fundamentals",IT,Data Scientist,"AWS Training, Azure Fundamentals","Python, Data Science, Cybersecurity, AWS, Docker, SQL","AWS, Docker, SQL"
Master,1-3 years,Data Science,"Java, ML, Docker, Python",Google Data Engineer,IT,Data Scientist,Google Cloud Certification,"Python, Data Science, Docker, Java, ML","Docker, Java, ML"
Bachelor,5+ years,Machine Learning,"React, SQL, Python, ML","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, Python, ML, SQL, React","ML, SQL, React"
Master,5+ years,"Web Development, Machine Learning, Data Science","ML, Java, AWS, React, SQL",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Data Science, AWS, React, ML, Java, SQL, Web Development","AWS, React, ML, Java, SQL"
Master,5+ years,Web Development,"SQL, AWS, ML, Python",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"Python, AWS, ML, SQL, Web Development","AWS, ML, SQL"
PhD,1-3 years,Web Development,"Java, ML, Docker","AWS Certified, Azure Fundamentals",IT,Web Developer,"AWS Training, Azure Fundamentals","Docker, Web Development, Java, ML","Docker, Java, ML"
PhD,1-3 years,"Data Science, Cloud Computing","Java, Docker, Python","AWS Certified, Azure Fundamentals",IT,Cloud Engineer,"AWS Training, Azure Fundamentals","Python, Data Science, Docker, Java, Cloud Computing","Docker, Java"
PhD,3-5 years,"Cybersecurity, Web Development","Docker, SQL, React",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"Cybersecurity, React, Docker, SQL, Web Development","React, Docker, SQL"
Master,3-5 years,"Data Science, Cloud Computing, Cybersecurity","SQL, ML, Docker, Python, Java",Azure Fundamentals,IT,Cloud Engineer,Azure Fundamentals,"Python, Data Science, Cybersecurity, Docker, ML, Java, SQL, Cloud Computing","Docker, ML, Java, SQL"
Master,5+ years,Cloud Computing,"SQL, AWS, Java, ML, Docker","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","AWS, Docker, Java, ML, SQL, Cloud Computing","AWS, Docker, Java, ML, SQL"
Bachelor,0-1 years,"Data Science, Web Development","SQL, ML, Docker, Python, Java",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"Python, Data Science, Docker, ML, Java, SQL, Web Development","Docker, ML, Java, SQL"
Master,5+ years,AI,"SQL, Java, Docker, React","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AI, Docker, Java, SQL, React","Docker, Java, SQL, React"
PhD,5+ years,"Cybersecurity, Data Science, Web Development","ML, Java, React, Python, Docker","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","Python, Data Science, Cybersecurity, React, Docker, Java, ML, Web Development","React, Docker, Java, ML"
PhD,1-3 years,"Web Development, Cybersecurity, Cloud Computing","Java, SQL, React","AWS Certified, Azure Fundamentals",IT,Web Developer,"AWS Training, Azure Fundamentals","Cybersecurity, React, Java, SQL, Web Development, Cloud Computing","React, Java, SQL"
Master,1-3 years,"Machine Learning, Web Development","ML, AWS, Python, React, Java","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, Python, AWS, React, ML, Java, Web Development","AWS, React, ML, Java"
Master,3-5 years,"Web Development, Data Science","React, Docker, AWS, ML, SQL","Azure Fundamentals, Google Data Engineer",IT,Web Developer,"Azure Fundamentals, Google Cloud Certification","Data Science, AWS, React, Docker, ML, SQL, Web Development","AWS, React, Docker, ML, SQL"
Master,0-1 years,"Cybersecurity, Cloud Computing","Python, SQL, AWS","Google Data Engineer, Azure Fundamentals",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","Python, AWS, Cybersecurity, SQL, Cloud Computing","AWS, SQL"
PhD,3-5 years,"Data Science, Web Development","ML, Java, AWS","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","Data Science, AWS, Java, ML, Web Development","AWS, Java, ML"
Master,3-5 years,Cloud Computing,"Docker, AWS, SQL, ML, Python",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, AWS, Docker, ML, SQL, Cloud Computing","AWS, Docker, ML, SQL"
PhD,5+ years,"Cloud Computing, Web Development","Docker, Python, AWS, React, ML",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"Python, AWS, React, Docker, ML, Web Development, Cloud Computing","AWS, React, Docker, ML"
PhD,0-1 years,"AI, Web Development","Python, SQL, Docker, AWS, Java","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, AI, Docker, Java, SQL, Web Development","AWS, Docker, Java, SQL"
Bachelor,0-1 years,"Cloud Computing, Cybersecurity","React, Python, Docker","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, Cybersecurity, Docker, React, Cloud Computing","Docker, React"
