Job Role,Skills,Certifications,Courses,Projects,Experience Level,Education,Industry,Keywords,Technologies
Full Stack Developer,"NodeJS, TensorFlow, C++","Certified Data Scientist, AWS Certified Developer","Web Development, Data Structures","Data Visualization Tool, E-commerce Website",Mid,Diploma in IT,Software,"Python, ReactJS","Git, Azure, Kubernetes"
Cybersecurity Analyst,"NodeJS, Docker, Python","AWS Certified Developer, Oracle Certified DBA","Cloud Computing, Web Development, Cybersecurity Fundamentals",Fake News Detection,Entry,MCA,Cloud Computing,"C++, Docker","Azure, Docker, Kubernetes"
Cloud Architect,"JavaScript, ReactJS, Python","AWS Certified Developer, Microsoft Azure Administrator, Certified Data Scientist","Web Development, Machine Learning, Data Structures, Cloud Computing","Chatbot Development, Fake News Detection",Entry,B.Tech in Computer Science,Cybersecurity,"Docker, ReactJS","Git, Azure"
DevOps Engineer,"TensorFlow, Python, C++, Kubernetes, ReactJS",Microsoft Azure Administrator,"Cloud Computing, Machine Learning, Cybersecurity Fundamentals, Data Structures","Data Visualization Tool, E-commerce Website",Mid,B.Tech in Computer Science,IT,"Java, TensorFlow, JavaScript","Azure, Git, Docker"
Cloud Architect,"TensorFlow, C++, JavaScript, NodeJS","Certified Data Scientist, Google Cloud Professional","Web Development, Machine Learning, Cloud Computing, Cybersecurity Fundamentals",Network Security System,Entry,BCA,Cybersecurity,"Docker, Kubernetes","Docker, Git"
Backend Developer,"Kubernetes, TensorFlow, Docker, JavaScript, ReactJS","Microsoft Azure Administrator, Oracle Certified DBA","Cloud Computing, Cybersecurity Fundamentals",E-commerce Website,Entry,BCA,AI,"TensorFlow, Docker, Kubernetes, JavaScript","Kubernetes, AWS, Docker"
Full Stack Developer,"C++, Java, Python, NodeJS",Oracle Certified DBA,"Data Structures, Machine Learning, Web Development, Cybersecurity Fundamentals","Fake News Detection, E-commerce Website",Mid,Diploma in IT,Cloud Computing,"Python, Kubernetes","Docker, Azure, Git"
Full Stack Developer,"Java, TensorFlow, NodeJS, JavaScript","Certified Data Scientist, Microsoft Azure Administrator","Machine Learning, Cybersecurity Fundamentals, Web Development","Data Visualization Tool, Fake News Detection",Entry,M.Sc in Data Science,Cloud Computing,"Java, Python, JavaScript, ReactJS","Docker, Azure, Kubernetes"
Full Stack Developer,"TensorFlow, Java, JavaScript","AWS Certified Developer, Microsoft Azure Administrator, Oracle Certified DBA","Web Development, Cloud Computing",E-commerce Website,Mid,BCA,Cloud Computing,"Python, Kubernetes, JavaScript, C++","Git, Azure, Docker"
Full Stack Developer,"Docker, C++, TensorFlow, NodeJS, SQL",Certified Data Scientist,"Cybersecurity Fundamentals, Machine Learning, Cloud Computing, Web Development","Network Security System, Data Visualization Tool",Mid,B.Tech in Computer Science,AI,"Kubernetes, Python","Git, AWS"
DevOps Engineer,"C++, TensorFlow, Java, Docker, SQL",AWS Certified Developer,"Machine Learning, Cybersecurity Fundamentals, Cloud Computing, Data Structures",Chatbot Development,Mid,BCA,Cloud Computing,"JavaScript, C++, Docker","AWS, Azure"
Frontend Developer,"ReactJS, Kubernetes, C++, Docker, Python","Google Cloud Professional, Certified Data Scientist, Oracle Certified DBA","Data Structures, Web Development","Data Visualization Tool, Fake News Detection",Senior,B.Tech in Computer Science,Cloud Computing,"ReactJS, C++, Java","Kubernetes, Git"
Database Administrator,"Kubernetes, Python, C++, SQL",Oracle Certified DBA,"Cloud Computing, Machine Learning","Data Visualization Tool, Fake News Detection",Mid,MCA,Software,"Docker, JavaScript","Git, Docker"
Cloud Architect,"C++, ReactJS, Java","Certified Data Scientist, AWS Certified Developer, Microsoft Azure Administrator","Web Development, Cloud Computing",Fake News Detection,Entry,BCA,Cloud Computing,"Python, Docker, ReactJS","AWS, Git"
Software Engineer,"Java, ReactJS, Python","AWS Certified Developer, Microsoft Azure Administrator","Machine Learning, Cybersecurity Fundamentals",E-commerce Website,Entry,B.Tech in Computer Science,Cloud Computing,"JavaScript, ReactJS, Docker, SQL","Docker, Kubernetes, AWS"
Software Engineer,"SQL, Kubernetes, C++, Docker","Google Cloud Professional, AWS Certified Developer","Cybersecurity Fundamentals, Machine Learning","E-commerce Website, Chatbot Development",Entry,BCA,Software,"Python, TensorFlow, JavaScript, C++","Git, Kubernetes"
Software Engineer,"Java, C++, Docker, NodeJS",Oracle Certified DBA,"Web Development, Data Structures, Machine Learning, Cloud Computing","E-commerce Website, Network Security System",Entry,MCA,Cloud Computing,"SQL, Docker","Kubernetes, AWS"
Frontend Developer,"NodeJS, JavaScript, Kubernetes",AWS Certified Developer,"Cybersecurity Fundamentals, Cloud Computing, Web Development, Machine Learning",E-commerce Website,Entry,B.Tech in Computer Science,IT,"NodeJS, JavaScript, ReactJS","Kubernetes, Git"
Software Engineer,"Kubernetes, Docker, NodeJS, C++","Microsoft Azure Administrator, Oracle Certified DBA","Data Structures, Cloud Computing, Cybersecurity Fundamentals",Network Security System,Entry,Diploma in IT,IT,"Kubernetes, Python, JavaScript, Docker","Kubernetes, AWS"
Data Scientist,"Java, SQL, TensorFlow","Oracle Certified DBA, AWS Certified Developer, Google Cloud Professional","Machine Learning, Data Structures, Cybersecurity Fundamentals, Cloud Computing",Network Security System,Entry,Diploma in IT,Cybersecurity,"NodeJS, Docker","Azure, Kubernetes, Docker"
Cybersecurity Analyst,"ReactJS, NodeJS, Python, SQL, Kubernetes",Oracle Certified DBA,"Cloud Computing, Web Development, Cybersecurity Fundamentals",Network Security System,Mid,M.Sc in Data Science,Cybersecurity,"Python, TensorFlow","AWS, Git"
Software Engineer,"Docker, JavaScript, C++, Java, Kubernetes","Certified Data Scientist, Microsoft Azure Administrator, AWS Certified Developer","Web Development, Cloud Computing, Data Structures","Data Visualization Tool, Fake News Detection",Senior,B.Tech in Computer Science,Cybersecurity,"Python, NodeJS","Azure, Kubernetes, Docker"
Backend Developer,"C++, Docker, Java, TensorFlow","AWS Certified Developer, Google Cloud Professional","Web Development, Cloud Computing, Cybersecurity Fundamentals",Network Security System,Mid,Diploma in IT,Cybersecurity,"NodeJS, TensorFlow, ReactJS, Python","AWS, Docker, Azure"
AI Engineer,"ReactJS, NodeJS, Python, SQL","Oracle Certified DBA, Google Cloud Professional, Certified Data Scientist","Cloud Computing, Machine Learning",Data Visualization Tool,Entry,MCA,Software,"SQL, Python, Docker, JavaScript","Azure, Kubernetes, Git"
Full Stack Developer,"Java, TensorFlow, Docker","Certified Data Scientist, AWS Certified Developer","Machine Learning, Data Structures, Cybersecurity Fundamentals, Cloud Computing","Chatbot Development, Fake News Detection",Mid,B.Tech in Computer Science,AI,"Docker, TensorFlow, SQL","Docker, Git"
Backend Developer,"Python, SQL, ReactJS, NodeJS, Docker","Google Cloud Professional, AWS Certified Developer","Data Structures, Cloud Computing, Machine Learning, Cybersecurity Fundamentals",Data Visualization Tool,Senior,Diploma in IT,Software,"TensorFlow, NodeJS, Kubernetes, JavaScript","Git, Kubernetes, Azure"
